"Unemployed people, Australia, August 1966 to August 2024, Seasonally adjusted"
,"Persons ('000)","Males ('000)","Females ('000)"
"Aug-66","90.3","42.5","46.9"
"Sep-66","90.3","42.5","46.9"
"Oct-66","85.7","38.4","47.7"
"Nov-66","85.7","38.4","47.7"
"Dec-66","85.7","38.4","47.7"
"Jan-67","91.0","44.7","46.1"
"Feb-67","91.0","44.7","46.1"
"Mar-67","91.0","44.7","46.1"
"Apr-67","98.4","46.2","52.0"
"May-67","98.4","46.2","52.0"
"Jun-67","98.4","46.2","52.0"
"Jul-67","97.7","46.5","51.2"
"Aug-67","97.7","46.5","51.2"
"Sep-67","97.7","46.5","51.2"
"Oct-67","92.9","41.7","51.6"
"Nov-67","92.9","41.7","51.6"
"Dec-67","92.9","41.7","51.6"
"Jan-68","94.3","41.8","52.0"
"Feb-68","94.3","41.8","52.0"
"Mar-68","94.3","41.8","52.0"
"Apr-68","97.6","43.4","54.2"
"May-68","97.6","43.4","54.2"
"Jun-68","97.6","43.4","54.2"
"Jul-68","95.5","42.0","53.7"
"Aug-68","95.5","42.0","53.7"
"Sep-68","95.5","42.0","53.7"
"Oct-68","88.1","37.7","50.7"
"Nov-68","88.1","37.7","50.7"
"Dec-68","88.1","37.7","50.7"
"Jan-69","94.9","41.6","52.7"
"Feb-69","94.9","41.6","52.7"
"Mar-69","94.9","41.6","52.7"
"Apr-69","92.5","39.1","53.5"
"May-69","92.5","39.1","53.5"
"Jun-69","92.5","39.1","53.5"
"Jul-69","91.8","38.0","53.1"
"Aug-69","91.8","38.0","53.1"
"Sep-69","91.8","38.0","53.1"
"Oct-69","104.1","45.1","59.3"
"Nov-69","104.1","45.1","59.3"
"Dec-69","104.1","45.1","59.3"
"Jan-70","88.3","37.4","50.6"
"Feb-70","88.3","37.4","50.6"
"Mar-70","88.3","37.4","50.6"
"Apr-70","91.6","38.5","53.4"
"May-70","91.6","38.5","53.4"
"Jun-70","91.6","38.5","53.4"
"Jul-70","91.9","41.9","49.5"
"Aug-70","91.9","41.9","49.5"
"Sep-70","91.9","41.9","49.5"
"Oct-70","90.8","40.7","50.1"
"Nov-70","90.8","40.7","50.1"
"Dec-70","90.8","40.7","50.1"
"Jan-71","97.3","40.9","56.1"
"Feb-71","97.3","40.9","56.1"
"Mar-71","97.3","40.9","56.1"
"Apr-71","106.1","51.0","55.9"
"May-71","106.1","51.0","55.9"
"Jun-71","106.1","51.0","55.9"
"Jul-71","107.7","49.9","57.6"
"Aug-71","107.7","49.9","57.6"
"Sep-71","107.7","49.9","57.6"
"Oct-71","121.8","61.8","59.8"
"Nov-71","121.8","61.8","59.8"
"Dec-71","121.8","61.8","59.8"
"Jan-72","139.0","73.4","65.5"
"Feb-72","139.0","73.4","65.5"
"Mar-72","139.0","73.4","65.5"
"Apr-72","135.0","65.4","70.0"
"May-72","135.0","65.4","70.0"
"Jun-72","135.0","65.4","70.0"
"Jul-72","168.6","85.4","82.6"
"Aug-72","168.6","85.4","82.6"
"Sep-72","168.6","85.4","82.6"
"Oct-72","160.9","73.9","86.9"
"Nov-72","160.9","73.9","86.9"
"Dec-72","160.9","73.9","86.9"
"Jan-73","151.8","69.9","81.4"
"Feb-73","151.8","69.9","81.4"
"Mar-73","151.8","69.9","81.4"
"Apr-73","135.3","65.2","70.9"
"May-73","135.3","65.2","70.9"
"Jun-73","135.3","65.2","70.9"
"Jul-73","125.3","61.1","65.1"
"Aug-73","125.3","61.1","65.1"
"Sep-73","125.3","61.1","65.1"
"Oct-73","126.9","59.9","66.9"
"Nov-73","126.9","59.9","66.9"
"Dec-73","126.9","59.9","66.9"
"Jan-74","128.9","58.5","69.9"
"Feb-74","128.9","58.5","69.9"
"Mar-74","128.9","58.5","69.9"
"Apr-74","129.4","55.0","74.7"
"May-74","129.4","55.0","74.7"
"Jun-74","129.4","55.0","74.7"
"Jul-74","165.1","77.1","87.6"
"Aug-74","165.1","77.1","87.6"
"Sep-74","165.1","77.1","87.6"
"Oct-74","247.1","120.6","127.2"
"Nov-74","247.1","120.6","127.2"
"Dec-74","247.1","120.6","127.2"
"Jan-75","296.5","152.0","145.3"
"Feb-75","296.5","152.0","145.3"
"Mar-75","296.5","152.0","145.3"
"Apr-75","294.2","146.8","146.1"
"May-75","294.2","146.8","146.1"
"Jun-75","294.2","146.8","146.1"
"Jul-75","287.6","140.7","147.2"
"Aug-75","287.6","140.7","147.2"
"Sep-75","287.6","140.7","147.2"
"Oct-75","334.8","160.0","175.8"
"Nov-75","334.8","160.0","175.8"
"Dec-75","334.8","160.0","175.8"
"Jan-76","303.6","157.3","147.0"
"Feb-76","303.6","157.3","147.0"
"Mar-76","303.6","157.3","147.0"
"Apr-76","281.4","143.8","136.1"
"May-76","281.4","143.8","136.1"
"Jun-76","281.4","143.8","136.1"
"Jul-76","302.0","159.1","143.3"
"Aug-76","302.0","159.1","143.3"
"Sep-76","302.0","159.1","143.3"
"Oct-76","304.6","165.7","138.8"
"Nov-76","304.6","165.7","138.8"
"Dec-76","304.6","165.7","138.8"
"Jan-77","329.7","169.7","160.9"
"Feb-77","329.7","169.7","160.9"
"Mar-77","329.7","169.7","160.9"
"Apr-77","359.7","187.4","170.8"
"May-77","359.7","187.4","170.8"
"Jun-77","359.7","187.4","170.8"
"Jul-77","372.2","193.2","179.3"
"Aug-77","372.2","193.2","179.3"
"Sep-77","372.2","193.2","179.3"
"Oct-77","375.9","196.3","179.5"
"Nov-77","375.9","196.3","179.5"
"Dec-77","375.9","196.3","179.5"
"Jan-78","426.9","231.4","195.5"
"Feb-78","426.9","231.4","195.5"
"Mar-78","403.8","217.6","186.2"
"Apr-78","403.2","220.4","182.9"
"May-78","399.4","215.2","184.2"
"Jun-78","405.9","225.6","180.3"
"Jul-78","400.1","221.0","179.1"
"Aug-78","418.9","231.3","187.7"
"Sep-78","402.5","224.4","178.0"
"Oct-78","396.4","222.3","174.1"
"Nov-78","407.4","225.4","182.0"
"Dec-78","414.3","224.4","189.8"
"Jan-79","411.8","223.4","188.4"
"Feb-79","404.7","219.2","185.5"
"Mar-79","407.4","221.9","185.4"
"Apr-79","421.5","228.8","192.6"
"May-79","401.5","216.2","185.3"
"Jun-79","406.7","216.6","190.1"
"Jul-79","408.1","212.4","195.7"
"Aug-79","398.5","205.9","192.5"
"Sep-79","406.5","207.4","199.1"
"Oct-79","419.5","209.8","209.7"
"Nov-79","397.6","200.8","196.8"
"Dec-79","403.1","208.5","194.6"
"Jan-80","406.3","218.0","188.3"
"Feb-80","397.0","209.7","187.4"
"Mar-80","393.4","210.1","183.3"
"Apr-80","406.8","216.3","190.5"
"May-80","417.6","225.0","192.6"
"Jun-80","423.6","220.3","203.3"
"Jul-80","408.0","214.9","193.0"
"Aug-80","415.8","218.1","197.7"
"Sep-80","413.3","216.4","196.9"
"Oct-80","406.5","208.2","198.3"
"Nov-80","393.2","199.2","194.1"
"Dec-80","409.1","209.6","199.5"
"Jan-81","399.7","210.3","189.4"
"Feb-81","379.2","200.5","178.7"
"Mar-81","388.7","200.6","188.1"
"Apr-81","376.6","194.9","181.7"
"May-81","379.1","197.0","182.1"
"Jun-81","364.6","190.3","174.3"
"Jul-81","397.1","205.2","191.9"
"Aug-81","399.5","206.9","192.6"
"Sep-81","398.5","213.3","185.2"
"Oct-81","401.1","214.0","187.2"
"Nov-81","409.2","218.4","190.8"
"Dec-81","412.4","217.2","195.1"
"Jan-82","411.5","215.2","196.3"
"Feb-82","434.3","229.9","204.4"
"Mar-82","434.9","233.5","201.3"
"Apr-82","436.5","235.0","201.5"
"May-82","454.0","244.3","209.7"
"Jun-82","466.0","251.2","214.8"
"Jul-82","474.4","263.8","210.6"
"Aug-82","483.8","280.4","203.4"
"Sep-82","513.6","298.5","215.2"
"Oct-82","579.1","328.6","250.5"
"Nov-82","603.1","352.8","250.3"
"Dec-82","653.3","390.1","263.2"
"Jan-83","645.4","393.8","251.6"
"Feb-83","672.4","403.8","268.6"
"Mar-83","691.3","423.1","268.2"
"Apr-83","704.3","438.9","265.4"
"May-83","721.0","440.1","280.9"
"Jun-83","712.6","439.3","273.3"
"Jul-83","737.6","457.2","280.4"
"Aug-83","715.1","440.4","274.7"
"Sep-83","728.2","440.0","288.2"
"Oct-83","702.5","428.9","273.6"
"Nov-83","679.0","415.8","263.2"
"Dec-83","666.2","405.8","260.4"
"Jan-84","669.3","412.6","256.7"
"Feb-84","662.0","399.4","262.6"
"Mar-84","653.9","391.4","262.5"
"Apr-84","667.3","393.1","274.2"
"May-84","635.8","385.5","250.3"
"Jun-84","650.6","388.0","262.6"
"Jul-84","637.1","380.1","257.1"
"Aug-84","630.1","391.0","239.1"
"Sep-84","625.7","380.3","245.3"
"Oct-84","622.3","376.1","246.2"
"Nov-84","622.5","368.5","254.0"
"Dec-84","610.3","365.9","244.4"
"Jan-85","613.6","369.3","244.3"
"Feb-85","606.8","359.0","247.7"
"Mar-85","626.2","377.0","249.2"
"Apr-85","606.4","366.3","240.1"
"May-85","607.5","365.3","242.2"
"Jun-85","624.5","378.5","246.0"
"Jul-85","605.4","365.8","239.6"
"Aug-85","597.3","357.7","239.6"
"Sep-85","593.4","345.7","247.7"
"Oct-85","575.4","333.5","241.9"
"Nov-85","592.0","336.7","255.3"
"Dec-85","575.9","328.7","247.2"
"Jan-86","581.6","336.7","244.9"
"Feb-86","599.5","339.9","259.5"
"Mar-86","594.1","340.5","253.6"
"Apr-86","598.0","344.2","253.8"
"May-86","592.9","340.1","252.8"
"Jun-86","580.6","332.8","247.8"
"Jul-86","616.6","352.1","264.5"
"Aug-86","625.7","358.4","267.3"
"Sep-86","636.2","365.6","270.6"
"Oct-86","636.1","366.5","269.5"
"Nov-86","635.8","373.3","262.5"
"Dec-86","641.0","378.6","262.4"
"Jan-87","626.4","367.8","258.6"
"Feb-87","631.2","364.5","266.7"
"Mar-87","651.1","373.8","277.4"
"Apr-87","641.3","362.1","279.2"
"May-87","633.3","368.3","265.0"
"Jun-87","620.4","365.0","255.4"
"Jul-87","630.0","363.4","266.6"
"Aug-87","630.5","356.4","274.1"
"Sep-87","600.0","347.3","252.7"
"Oct-87","630.4","367.0","263.4"
"Nov-87","616.5","355.3","261.1"
"Dec-87","605.9","345.3","260.6"
"Jan-88","602.7","339.3","263.4"
"Feb-88","583.3","329.1","254.2"
"Mar-88","594.4","334.6","259.8"
"Apr-88","632.5","353.9","278.6"
"May-88","591.1","329.9","261.2"
"Jun-88","603.4","337.3","266.2"
"Jul-88","534.7","307.6","227.1"
"Aug-88","563.4","313.9","249.5"
"Sep-88","555.1","311.0","244.1"
"Oct-88","546.2","306.7","239.5"
"Nov-88","530.1","292.2","237.9"
"Dec-88","551.5","304.7","246.8"
"Jan-89","551.7","300.1","251.6"
"Feb-89","540.6","301.7","238.9"
"Mar-89","516.4","285.0","231.4"
"Apr-89","506.1","275.4","230.7"
"May-89","516.6","277.8","238.8"
"Jun-89","493.2","271.5","221.8"
"Jul-89","497.6","270.9","226.6"
"Aug-89","491.3","267.7","223.6"
"Sep-89","499.5","273.6","225.8"
"Oct-89","490.6","260.7","229.9"
"Nov-89","481.7","257.1","224.6"
"Dec-89","486.3","267.3","219.0"
"Jan-90","510.3","279.9","230.5"
"Feb-90","535.7","287.6","248.1"
"Mar-90","518.5","289.4","229.1"
"Apr-90","527.1","299.4","227.7"
"May-90","549.4","310.4","239.1"
"Jun-90","559.1","309.9","249.1"
"Jul-90","603.0","344.6","258.4"
"Aug-90","611.5","346.0","265.5"
"Sep-90","624.4","360.5","263.9"
"Oct-90","647.4","377.3","270.0"
"Nov-90","674.0","404.0","270.0"
"Dec-90","681.1","401.6","279.6"
"Jan-91","710.1","417.3","292.8"
"Feb-91","731.4","433.6","297.8"
"Mar-91","778.9","466.2","312.7"
"Apr-91","842.0","503.0","339.0"
"May-91","807.8","482.0","325.8"
"Jun-91","808.5","489.7","318.8"
"Jul-91","817.8","495.2","322.6"
"Aug-91","828.6","508.2","320.4"
"Sep-91","852.4","513.0","339.5"
"Oct-91","845.0","518.5","326.5"
"Nov-91","862.7","522.0","340.6"
"Dec-91","891.1","536.5","354.6"
"Jan-92","880.9","531.0","349.9"
"Feb-92","888.4","538.5","349.8"
"Mar-92","895.0","545.7","349.4"
"Apr-92","891.9","542.7","349.1"
"May-92","905.3","556.9","348.4"
"Jun-92","925.3","567.6","357.7"
"Jul-92","958.6","592.9","365.7"
"Aug-92","921.2","566.2","355.0"
"Sep-92","906.8","554.7","352.0"
"Oct-92","953.6","588.7","364.9"
"Nov-92","948.5","593.1","355.4"
"Dec-92","960.2","586.9","373.3"
"Jan-93","929.6","575.6","354.0"
"Feb-93","938.4","582.7","355.7"
"Mar-93","929.6","570.4","359.2"
"Apr-93","918.5","582.7","335.8"
"May-93","920.4","579.4","341.0"
"Jun-93","941.9","586.1","355.8"
"Jul-93","937.2","578.6","358.7"
"Aug-93","944.0","576.9","367.1"
"Sep-93","923.0","555.8","367.1"
"Oct-93","949.9","572.2","377.7"
"Nov-93","950.3","563.9","386.4"
"Dec-93","933.6","564.4","369.2"
"Jan-94","917.6","549.2","368.5"
"Feb-94","904.0","544.1","359.9"
"Mar-94","901.8","545.1","356.8"
"Apr-94","874.1","522.0","352.1"
"May-94","850.0","508.7","341.3"
"Jun-94","857.5","508.3","349.2"
"Jul-94","847.0","492.1","354.9"
"Aug-94","827.3","487.5","339.7"
"Sep-94","823.5","479.3","344.2"
"Oct-94","798.0","467.1","330.8"
"Nov-94","804.0","472.1","331.9"
"Dec-94","788.3","456.8","331.5"
"Jan-95","782.1","459.7","322.3"
"Feb-95","783.7","452.8","331.0"
"Mar-95","764.0","438.5","325.5"
"Apr-95","735.4","437.8","297.6"
"May-95","756.1","453.6","302.5"
"Jun-95","747.4","447.6","299.8"
"Jul-95","755.2","453.7","301.6"
"Aug-95","747.4","439.5","307.9"
"Sep-95","750.5","450.5","300.0"
"Oct-95","770.4","457.6","312.8"
"Nov-95","765.1","442.7","322.4"
"Dec-95","734.9","440.3","294.7"
"Jan-96","765.4","457.1","308.3"
"Feb-96","753.2","444.9","308.3"
"Mar-96","760.1","454.3","305.8"
